x,y,z,qx,qy,qz,qw,speed
89669.8,43133.2,0,0,0,-0.864178,0.503187,1.5
89668.2,43130.5,0,0,0,-0.856705,0.515806,1.5
89666.9,43127.9,0,0,0,-0.876086,0.482156,1.5
89665.4,43125.6,0,0,0,-0.868327,0.495991,1.5
89663.7,43122.7,0,0,0,-0.965771,0.259397,1.5
89660.8,43121,0,0,0,-0.958761,0.284215,1.5
89657.8,43119,0,0,0,-0.970512,0.241052,1.5
89654,43117,0,0,0,0.995388,0.0959339,1.5
89650.6,43117.6,0,0,0,0.98688,0.161457,2
89647,43118.8,0,0,0,0.982822,0.184558,8.33333
89644.5,43119.9,0,0,0,0.982839,0.184466,8.33333
89642.1,43120.8,0,0,0,0.980115,0.198432,8.33333
89638.7,43122.2,0,0,0,0.9622,0.272343,8.33333
89636.7,43123.4,0,0,0,0.965606,0.260011,8.33333
89634.4,43124.8,0,0,0,0.922506,0.385984,8.33333
89632.7,43126.5,0,0,0,0.880755,0.473572,8.33333
89630.5,43129.7,0,0,0,0.880755,0.473572,8.33333
89628.3,43133.1,0,0,0,0.887679,0.460463,8.33333
89626.6,43135.5,0,0,0,0.886576,0.462583,8.33333
89624.9,43138,0,0,0,0.886618,0.462503,8.33333
89623.2,43140.4,0,0,0,0.886023,0.463642,8.33333
89621.5,43142.9,0,0,0,0.88584,0.46399,8.33333
89619.8,43145.3,0,0,0,0.884065,0.467363,8.33333
89618.1,43147.8,0,0,0,0.881734,0.471747,8.33333
89616.4,43150.3,0,0,0,0.874733,0.484605,8.33333
89614.9,43152.8,0,0,0,0.852035,0.523484,8.33333
89613.5,43155.5,0,0,0,0.798825,0.601564,8.33333
89612.7,43158.3,0,0,0,0.702854,0.711334,8.33333
89612.7,43161.3,0,0,0,0.568884,0.822418,8.33333
89613.8,43164.1,0,0,0,0.332024,0.943271,8.33333
89616,43165.9,0,0,0,0.0957612,0.995404,8.33333
89619,43166.5,0,0,0,-0.171466,0.98519,8.33333
89621.7,43165.5,0,0,0,-0.372298,0.928113,8.33333
89623.9,43163.4,0,0,0,-0.433472,0.901167,8.33333
89625.7,43161.1,0,0,0,-0.50772,0.861522,8.33333
89627.2,43158.5,0,0,0,-0.535709,0.844403,8.33333
89628.5,43155.8,0,0,0,-0.557544,0.830147,8.33333
89629.6,43153,0,0,0,-0.569087,0.822278,8.33333
89630.6,43150.2,0,0,0,-0.477121,0.878837,8.33333
89632.3,43147.8,0,0,0,-0.5511,0.834439,8.33333
89633.2,43145.5,0,0,0,-0.518683,0.854967,8.33333
89634.5,43143.1,0,0,0,-0.49334,0.869836,8.33333
89636.1,43140.3,0,0,0,-0.473565,0.880759,8.33333
89638.3,43137,0,0,0,-0.396358,0.918096,8.33333
89640.9,43134.3,0,0,0,-0.250841,0.968028,8.33333
89644.2,43132.5,0,0,0,-0.0929769,0.995668,8.33333
89647.8,43131.8,0,0,0,0.501242,0.865307,8.33333
89649.8,43135.3,0,0,0,0.754865,0.65588,8.33333
89649.2,43139.4,0,0,0,0.808197,0.588913,8.33333
89647.4,43143.6,-2.90802e-05,0,0,0.878131,0.478421,8.33333
89645.2,43147,0,0,0,0.743148,0.669127,8.33333
89643.6,43149.7,0,0,0,0.754681,0.656092,8.33333
89642.1,43152.3,0,0,0,0.786563,0.61751,8.33333
89640.4,43154.2,-2.63951e-05,0,0,0.818711,0.574206,8.33333
89638.9,43156.6,-2.85458e-05,0,0,0.849178,0.528106,8.33333
89637.4,43159,-2.80833e-05,0,0,0.885036,0.465522,8.33333
89635.7,43161.5,0,0,0,0.909045,0.416698,8.33333
89633.8,43163.8,0,0,0,0.911257,0.411839,8.33333
89632.4,43166,0,0,0,0.880314,0.474392,8.33333
89630.7,43168.6,0,0,0,0.907444,0.420174,8.33333
89628.6,43171,0,0,0,0.949822,0.312792,8.33333
89626.3,43173.4,0,0,0,0.984654,0.174518,8.33333
89623.4,43174.9,-3.04566e-05,0,0,0.9818,0.189917,8.33333
89620.2,43176.1,-3.01522e-05,0,0,0.706811,0.707403,8.33333
89618.6,43179.8,0,0,0,0.483121,0.875554,8.33333
89619.2,43183.4,0,0,0,0.358401,0.933568,8.33333
89621.5,43185.5,0,0,0,0.328683,0.94444,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,8.33333
89626.7,43188.7,0,0,0,-0.156562,0.987668,8.33333
89629.8,43189.2,0,0,0,-0.426246,0.904607,8.33333
89632.5,43187.9,0,0,0,-0.482023,0.876158,8.33333
89634.8,43184.6,0,0,0,-0.310972,0.950419,8.33333
89636.8,43181.7,0,0,0,-0.209839,0.977736,8.33333
89640.2,43179.7,0,0,0,0.0796174,0.996825,8.33333
89643.9,43180.3,0,0,0,0.393582,0.91929,8.33333
89647.3,43181.6,0,0,0,0.457412,0.889255,8.33333
89650.1,43183,0,0,0,0.466768,0.88438,8.33333
89652.1,43184.5,0,0,0,0.353961,0.93526,8.33333
89654,43186.2,0,0,0,0.197508,0.980301,8.33333
89656.3,43187.5,0,0,0,0.0235957,0.999722,8.33333
89659.5,43188.6,0,0,0,-0.264305,0.964439,8.33333
89662.5,43186.8,0,0,0,-0.42261,0.906311,8.33333
89663.8,43185.2,0,0,0,-0.61422,0.789135,8.33333
89664.6,43182,0,0,0,-0.72301,0.690837,8.33333
89664.5,43179.3,0,0,0,-0.883558,0.468321,8.33333
89663,43177.1,0,0,0,-0.980175,0.198135,8.33333
89660.2,43175.9,0,0,0,-0.997178,0.0750719,8.33333
89657.2,43175.4,0,0,0,-0.997254,0.0740582,8.33333
89654.3,43175,0,0,0,-0.999403,0.0345591,8.33333
89651.3,43174.7,0,0,0,-0.985476,0.169815,8.33333
89648.4,43173.7,0,0,0,-0.947133,0.320841,8.33333
89645.6,43172.1,0,0,0,-0.762004,0.647572,8.33333
89643.6,43169.3,0,0,0,-0.679406,0.733762,8.33333
89643.9,43165.8,0,0,0,-0.210825,0.977524,8.33333
89645.8,43162.9,0,0,0,-0.0936748,0.995603,8.33333
89648.9,43161.6,0,0,0,-0.0910552,0.995846,8.33333
89651.8,43160.2,0,0,0,-0.0815766,0.996667,8.33333
89654.5,43159.7,0,0,0,-0.148667,0.988887,8.33333
89657.4,43158.9,0,0,0,0.052782,0.998606,8.33333
89660.6,43159.2,0,0,0,0.393968,0.919124,8.33333
89662.8,43161.5,0,0,0,0.538607,0.842557,8.33333
89663.5,43164.7,0,0,0,0.649465,0.760392,8.33333
89664.1,43168.6,0,0,0,0.375648,0.926762,8.33333
89666.8,43171.2,0,0,0,0.0623638,0.998053,8.33333
89670.4,43171.7,0,0,0,-0.335868,0.941909,8.33333
89673.8,43170.1,0,0,0,-0.456073,0.889942,8.33333
89675.5,43167.6,0,0,0,-0.424476,0.905439,8.33333
